name,artist,popularity,release_date,genre
Stupid Love Story,Canserbero,75,2012-12-31,r&b
Secreto De Amor,Joan Sebastian,73,2000-04-05,r&b
Directo Al Corazón,Los Tigres Del Norte,72,2005-01-01,r&b
El Triste,José José,70,1970,r&b
Pa' Que Retozen,Tego Calderón,80,2003-07-01,r&b
Diséñame,Joan Sebastian,71,2012-05-22,r&b
Titanium (feat. Sia),David Guetta,85,2012-12-07,r&b
Tienes el Don,Rels B,71,2017-03-09,r&b
Baila Más,Rels B,71,2016-09-25,r&b
Si Antes Te Hubiera Conocido,KAROL G,93,2024-06-21,latin
Antologia,Shakira,83,1995-10-06,latin
LUNA,Feid,89,2023-12-01,latin
Me Dediqué a Perderte,Alejandro Fernández,82,2004-09-01,latin
Viento,Caifanes,79,1988-05-15,latin
Es un Secreto,Plan B,83,2010-07-20,latin
Brillas,León Larregui,79,2012-01-01,latin
A Mí,Rels B,83,2019-02-21,latin
Soltera,Shakira,85,2024-09-25,latin
En algún lugar,Duncan Dhu,81,1987-01-17,latin
Afuera,Caifanes,79,1994,latin
LA CANCIÓN,J Balvin,87,2019-06-28,latin
Las de la Intuición,Shakira,81,2005-06-03,latin
Tu Falta De Querer,Mon Laferte,82,2015-08-21,latin
Ojitos Lindos,Bad Bunny,85,2022-05-06,latin
"Ciega, Sordomuda",Shakira,82,1998-09-29,latin
Dia de Enero,Shakira,81,2005-06-03,latin
Rosa Pastel,Belanova,80,2006,latin
Labios Rotos - En Vivo Desde México / 2010,Zoé,79,2011-01-01,latin
Locos,León Larregui,78,2016-03-11,latin
Según Quién,Maluma,82,2023-08-25,latin
La Célula Que Explota,Caifanes,77,1990-06-19,latin
Borro Cassette,Maluma,85,2015-10-30,latin
Mi Buen Amor,Mon Laferte,80,2017-04-27,latin
Desenfocao',Rauw Alejandro,81,2021-12-10,latin
Que Lloro,Sin Bandera,81,2003-10-01,latin
Dile,Don Omar,84,2003-01-01,latin
Hasta la Raíz,Natalia Lafourcade,81,2015-11-13,latin
Inevitable,Shakira,81,1998-09-29,latin
Salió El Sol,Don Omar,83,2006-01-01,latin
Ella Y Yo - Featuring Don Omar,Aventura,84,2005-04-26,latin
Virtual Diva,Don Omar,78,2009-01-01,latin
Vaquero - Remix,Bellakath,77,2024-08-08,latin
Es Por Ti,Juanes,81,2002-01-01,latin
No Dejes Que...,Caifanes,77,1992-06-08,latin
MOJABI GHOST,Tainy,83,2023-06-29,latin
Lamento Boliviano,Los Enanitos Verdes,82,1994-01-01,latin
Todo Cambió,Camila,81,2006,latin
Moscow Mule,Bad Bunny,84,2022-05-06,latin
Ahora Te Puedes Marchar,Luis Miguel,79,1987-07-15,latin
Candy,Plan B,76,2013-09-14,latin
PERRO NEGRO,Bad Bunny,85,2023-10-13,latin
Corazón partío,Alejandro Sanz,80,1997,latin
Oye Mi Amor,Maná,81,1992,latin
Rosas,La Oreja de Van Gogh,81,2003,latin
Otro Atardecer,Bad Bunny,82,2022-05-06,latin
Soñé - En Vivo,Zoé,77,2011-01-01,latin
Luna - En Vivo,Zoé,77,2011-01-01,latin
Eres,Café Tacvba,78,2003-07-01,latin
Devuélveme a mi chica,Hombres G,79,1985,latin
Have You Ever Seen The Rain,Creedence Clearwater Revival,86,1970-12-07,country
Fortunate Son,Creedence Clearwater Revival,84,1969-11-02,country
Bad Moon Rising,Creedence Clearwater Revival,80,1969-08-03,country
Fast Car,Luke Combs,85,2023-03-24,country
Proud Mary,Creedence Clearwater Revival,75,1969-01-05,country
Tennessee Whiskey,Chris Stapleton,86,2015-05-04,country
Need You Now,Lady A,76,2010-01-01,country
Green River,Creedence Clearwater Revival,74,1969-08-03,country
Knockin' On Heaven's Door,Bob Dylan,83,1973-07-13,country
Man! I Feel Like A Woman!,Shania Twain,75,1997,country
Bad To The Bone,George Thorogood & The Destroyers,72,1982-01-01,country
Down On The Corner,Creedence Clearwater Revival,73,1969-11-02,country
Life is a Highway,Rascal Flatts,76,2006-01-01,country
i was all over her,salvia palth,83,2013-05-06,country
Cotton Fields,Creedence Clearwater Revival,69,1969-11-02,country
forwards beckon rebound,Adrianne Lenker,81,2020-10-23,country
Man! I Feel Like A Woman!,Shania Twain,74,1997-11-04,country
You're Still The One,Shania Twain,77,1997,country
Coward Of The County,Kenny Rogers,69,1979-10-10,country
"not a lot, just forever",Adrianne Lenker,81,2020-10-23,country
anything,Adrianne Lenker,83,2020-10-23,country
Where the Wild Things Are,Luke Combs,85,2023-03-24,country
Born On The Bayou,Creedence Clearwater Revival,70,1969-01-05,country
When It Rains It Pours,Luke Combs,85,2017-06-02,country
Your Man,Josh Turner,76,2006,country
One Number Away,Luke Combs,77,2017-06-02,country
Little Bitty,Alan Jackson,71,1996-09-30,country
Like a Rolling Stone,Bob Dylan,78,1965-08-30,country
Midnight Special,Creedence Clearwater Revival,68,1969-11-02,country
Chattahoochee,Alan Jackson,58,1992-10-24,country
Time in a Bottle,Jim Croce,76,1972-04-01,country
Beautiful Crazy,Luke Combs,83,2018-06-01,country
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,86,2024-05-16,country
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,88,2023-08-25,country
Who'll Stop The Rain,Creedence Clearwater Revival,71,1970-07-24,country
Old Time Rock & Roll,Bob Seger,76,1978-05-05,country
Raindrops Keep Fallin' On My Head,B.J. Thomas,64,1968,country
Need 2,Pinegrove,81,2015-10-15,country
Run Through The Jungle,Creedence Clearwater Revival,71,1970-07-24,country
Hurt,Johnny Cash,75,2002-01-01,country
In Case You Didn't Know,Brett Young,76,2017-02-10,country
The Gambler,Kenny Rogers,77,1978-11-20,country
I Never Lie,Zach Top,85,2024-04-05,country
(dream),salvia palth,78,2013-05-06,country
You Should Probably Leave,Chris Stapleton,85,2020-11-13,country
Pink Skies,Zach Bryan,87,2024-05-24,country
Mississippi Queen,Mountain,69,1970,country
Queen Of Hearts,Juice Newton,62,1981-01-01,country
Good Time,Alan Jackson,69,2008-11-05,country
Lookin' Out My Back Door,Creedence Clearwater Revival,70,1970-07-24,country
Boogie Wonderland,"Earth, Wind & Fire",81,1979-06,jazz
September,"Earth, Wind & Fire",84,1978-11-18,jazz
Let's Groove,"Earth, Wind & Fire",82,1981-11-14,jazz
Feeling Good,Michael Bublé,76,2005-02-08,jazz
Algo contigo,Rita Payés,67,2019-05-17,jazz
Sway,Michael Bublé,76,2003,jazz
Killing Me Softly With His Song,Roberta Flack,77,1973-01-01,jazz
September,"Earth, Wind & Fire",76,1978-11-23,jazz
What A Wonderful World,Louis Armstrong,78,1968-01-01,jazz
L-O-V-E,Nat King Cole,76,1965-01-11,jazz
Just the Two of Us,"Grover Washington, Jr.",70,1980,jazz
Amor y Control,Rubén Blades,63,1992,jazz
Tenías Que Ser Tú,Silvana Estrada,60,2018-03-14,jazz
I'd Rather Go Blind,Etta James,78,1968-04-18,jazz
Feeling Good,Nina Simone,77,1965-06-01,jazz
